,name,age,location,gender,join_date,total tweets,followers,following,verified,tweet,likes,retweets,date,word count,launguage,is quote,trending,tweet id
0,maxoudns,,,,2021-04-24,1240,29,224,False,RT @ichigod22: Bleach is always on top 🤧🔥 https://t.co/dXEaZtyhrN,0,613,2023-01-09,9,en,False,,1612435878361677825
1,snowflakechahal,,India,,2020-03-07,10648,1080,884,False,"RT @Team_Munawar__: 𝐅𝐈𝐑𝐒𝐓 𝐓𝐑𝐄𝐍𝐃 𝐁𝐎𝐎𝐒𝐓𝐄𝐑 

Are you ready for the TREND BOOSTER???

300 Retweet &amp; 700 Comments with the Tagline 

Is it Possi…",0,78,2023-01-09,22,en,False,"['#GetOutRavi', '#देश_की_आवाज़_राहुल', '#VanakkamUPGIS23', '#Edge30FusionVivaMagenta', '#MissionMajnu', 'VIRTUOUS SOUL MUNAWAR', 'Naseem Shah', 'Kolar', 'Investment Hub Madhya Pradesh', 'Assembly', 'FANS DEMAND ANKIT IN BB', 'Ishan', 'Indore', 'ODIs', 'Happy Birthday Sir', 'SSRCase A Turning Point', 'Guwahati', '#CelebrationOfVarisu', '#motoxstylelistings', '#MotorolaXPantoneColourOf2023', '#JaspritBumrah', '#Amul', '#SidharthMalhotra', '#tcsq3', '#slicepurplemonth', '#FatimaSheikh', '#Goodachari2', '#realme10', '#ShaakuntalamTrailer', '#SaalNahi_Salaar_Hai', '#AdiviSesh', '#MoonRiseOutTomorrow', '#DwainePretorius', '#SamanthaRuthPrabhu', '#PathaanTrailer', '#Siddaramaiah', '#MKStalin', '#MondayMotivation', '#हाथ_कैसे_लगाया', '#ஆளுநர்', '#RohitSharma', '#TheNightManager', '#PravasiBharatiyaDivas', '#EpicLoveStory', '#ChandaKochhar', '#4YearsForPrajaSankalpaYatra', '#Brazil', '#AlluArha', '#Joshimathcrisis', '#HanuMan']",1612435878357667841
2,Adam_S_95,,,,2011-12-01,9793,246,196,False,@1ManUnitedNews Loan or pernament move?,0,0,2023-01-09,5,en,False,,1612435878332502022
3,itamar_barkan,,,,2014-12-11,58,7,29,False,We all can agree that R2-D2 is the goat but BD-1 needs to get more respect,0,0,2023-01-09,16,en,False,,1612435878323822593
4,SodipoAkeemAbio,,,,2012-07-25,3048,15,195,False,RT @DeeOneAyekooto: Ondo is fully BATified. https://t.co/p9Z0rx8aXK,0,68,2023-01-09,7,en,False,,1612435878298656768
5,Anil1Col,,"Chennai, India ",,2015-11-26,13822,186,234,False,RT @minicnair: Before and after bail!!! https://t.co/rgG3Xl3XXa,0,986,2023-01-09,7,en,False,"['#VarisuFDFS', '#VarisuTicketsHelp', '#திராவிட_மாடல்', '#GetOutRavi', '#देश_की_आवाज़_राहुल', 'VIRTUOUS SOUL MUNAWAR', 'Naseem Shah', 'Kolar', 'Investment Hub Madhya Pradesh', 'FANS DEMAND ANKIT IN BB', 'Assembly', 'Ishan', 'SSRCase A Turning Point', 'Indore', 'ODIs', 'Happy Birthday Sir', 'Guwahati', '#VanakkamUPGIS23', '#Edge30FusionVivaMagenta', '#MissionMajnu', '#CelebrationOfVarisu', '#motoxstylelistings', '#JaspritBumrah', '#MotorolaXPantoneColourOf2023', '#Amul', '#SidharthMalhotra', '#tcsq3', '#slicepurplemonth', '#FatimaSheikh', '#Goodachari2', '#realme10', '#ShaakuntalamTrailer', '#SaalNahi_Salaar_Hai', '#AdiviSesh', '#MoonRiseOutTomorrow', '#SamanthaRuthPrabhu', '#DwainePretorius', '#MKStalin', '#PathaanTrailer', '#Siddaramaiah', '#MondayMotivation', '#हाथ_कैसे_लगाया', '#ஆளுநர்', '#RohitSharma', '#TheNightManager', '#EpicLoveStory', '#ChandaKochhar', '#4YearsForPrajaSankalpaYatra', '#PravasiBharatiyaDivas', '#Brazil']",1612435878273765381
6,TeumeMarketPH,,Philippines,,2020-08-20,34857,7540,29,False,"RT @wooprioz: wts lfb ph ⁕ help rt 

╰ treasure ktown a

ㅡ ₱180 ea (plus pf n lsf)
ㅡ soon to be onhand 
ㅡ alr in transit to ph
ㅡ x sensitiv…",0,2,2023-01-09,30,en,False,"['#MCIInuusig', '#DentisteLoveLISA', 'KDAYSLex MV OUTNOW', '#AlchemyOfSouls2Ep10', '#KDEstradaDays', '#ENSD', 'DARLENTINA DI BIBITAW', 'DAYDREAM CONCEPT PHOTO', 'chenle', 'The Why of Praying', 'iwantasap 2023 withanji', 'VOTE NYEBE ON MYX', 'sarah g 2023', 'jeonghan', 'KANG TAEHYUN', 'STREAM IDOLL NOW', 'Julie Anne San Jose', 'APPLETV SAVE WARRIOR NUN', 'Time To Love', 'COMPOSED BY JIMIN', 'talented musician anji', 'Black Nazarene', 'St. Donnalyn', 'Nazareno', 'Blessed Sunday', 'andi sparks at twentyone', 'Thoma', 'chaeyoung', 'Hyungwon', 'TXT HUBADERO ERA', 'LAPILLUS ON WEEKLY IDOL', 'Hong Sisters', 'Clarita', 'soarin9 with kaia', 'ACEstronger 21st MONTHSARY', 'Maria Clara', 'Basilio', 'PAUSEandPLAY WITH SELA', 'Yesung', 'hobi', 'NARIAN LOVERS QUARREL', 'Lemon', ""THEY CAN'T BEAT US"", 'Itim', 'SOLVE THE PUZZLE', 'Milan', 'Red Velvet', 'Sisa', 'UP Fair', 'Jose Faustino Jr.']",1612435878273748992
7,interceptadoos,,Brazil,,2019-07-09,87988,42787,511,False,"RT @Merlin_Calazans: Its_not_unusual.mp3
@Eagles @alfonso_ribeiro @willsmith 
@interceptadoos @EaglesBrazil @eaglaodamassa @aguiasnoar @Eag…",0,5,2023-01-09,10,en,False,"['Marginal Tietê', 'BOLSONARO É CULPADO', 'Alexandre de Moraes', 'Xandão', '#BeautifulLiar', 'Exército', 'MASP', '#MONSTAX_REASON', '#몬스타엑스', '#semAnistiaPraGolpista', 'Papuda', '#BomDiaBrasil', 'Celina Leão', 'taehyun', 'COMPOSED BY JIMIN', 'Gaviões', 'Magno Malta', 'Nikolas Ferreira', 'Boulos', 'Infiltrados', 'Democracia', 'FORA MÚCIO', 'Dona Fátima', 'Dia 9', 'Ciro', 'kihyun', 'Jooheon', 'Tarcisio', 'São Januário', 'Janones', 'Polícia Federal', 'Em 2017', 'Faz o B', 'Telegram', 'QG de Brasília', 'Estado Democrático de Direito', 'Cassação', 'Chupetinha', 'Aécio', 'Pátria e Família', 'Randolfe', 'O STF', 'Ditador', 'Constituição Federal', 'Ustra', 'Judiciário', 'Augusto Aras', 'Sergio Moro', 'Protesto', 'Cuida']",1612435878261198848
8,Victori00584212,,,,2022-11-08,1145,51,428,False,"@CryptoClash1 @LuxWorld_ As a newbie who is just about to start playing a blockchain game for the first time, how do I get started on GameFi? How easy would it be for me on the platform and is there a way I can get any assistance of any form from experienced gamers already on the platform?",0,0,2023-01-09,56,en,False,,1612435878256992259
9,WilsonTheGooner,,,,2012-03-02,27392,552,1462,False,@CapitalFMSport @CapitalFMKenya Charity begins at home. Who's the greatest Kenyan footballer to don the Harambee Stars jersey? They should name/rename a 🏟️ stadium after that player.,0,0,2023-01-09,26,en,False,,1612435878256775172
